           KIAZH       TSHCC       UQCAE       PTTDF       LQPUH       ARYJK       QLLVE       SFDGY       VVQVR       FMEDE
KIAZH        -          481         914         851         919         130         643         142         293         989  
TSHCC       481          -           23         243         303         256         135         355         651         898  
UQCAE       914          23          -          655         128         605         221         734         753         603  
PTTDF       851         243         655          -          632         339          41         942         513         934  
LQPUH       919         303         128         632          -          686         368         391         127         174  
ARYJK       130         256         605         339         686          -          724         702         991         643  
QLLVE       643         135         221          41         368         724          -          302          76         402  
SFDGY       142         355         734         942         391         702         302          -          127         320  
VVQVR       293         651         753         513         127         991          76         127          -           88  
FMEDE       989         898         603         934         174         643         402         320          88          -   
