                     PVKU        VBLC        CITR        IEQY        ICLL        ORLL        FWXH        WFNM        PPVD        KXOW        UOPA        OBRP        BWXW        LTEJ        VRVA        AQLK        TKBD        YONL        XOWZ        DJUI        CAXJ        XNHM        CTQY        OCUY        TIUF        RZLC        KWEU        FGIW        WMMG        UIWN        RKGX        VSQG        LXUP        DERT        MBZT        ZXYW        SAIY        OROJ        IEAD        JWSF        GKGP        YEHV        RCYK        VHXP        SRFY        XPDP        UTIS        GHVC        LNFZ        YAPJ        ZNCE        DKZX        KBAV        ZXDV        ZQOZ        QAPI        NXHZ        PTCG        PBTE        BHIP        HZJF        APAT        OBFK        OOKY        ULIE        PKLG        EDPO        JINW        QUZM        WMEX        NASL        HKXY        FSFJ        SMGK        XVZI        NTHU        EPSS        IXDU        BXPX        NCPM        DRHK        WQVB        FHNX        THSS        AKCO        UNMS        KMOK        MDDP        ZQIP        XGBR        MXXU        TXYD        IKOB        VHVP        DGIK        LADK        FYWQ        APBC        UHIF        LXQD
        PVKU          -           -           -           -          521          -          546         814          -           -           -           -          834          -           -          709          -           -          909          -          685          -           -           -           -           -           -           -           -           -          696          -           -           -           -           -          286         740          -           -           -          993         803          -           -           -           -          595          -           -           -           -          372          -           -           -           -          146          -           -           -           -           -          597          -          572          -           -           -          875          -           -          239          -           -          383          -           -           -           -           -          185          -           -           -           -           -          951          -           -           -           -          513          -           -           -           -           17          -           -   
        VBLC          -           -           -           -            2          -           -           -           -           -           -           -           -           -           -           -           -           -          419          -           -           -           -           -           -           -           78          71          -           -          962          -           -           -           38          -           -           -           -           -           -           -           -           -           -           -           -           -          218          -           -           -           -          708          -           -          581          -           -           -           -           -           -           -           -           -          359         835          -           -           -           -           -           -           -           61          -           -           -           -           -           -           -           -           -           -           -           -           -           -          770          89          -          456          -          313          -           -           -           -   
        CITR          -           -           -           -           -          423          -           33          -          340         322         499          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          264          -          430          -           -           -           -           -           -           -           -           -          168          -           -           -           -           -           -           -           -           -           -           -          969          -          684          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          240          -          795          -           -           -           -           -           -           -           -           -           -           -          273         250          -           -           -           -          748          -          767          -          746          -           -           -   
        IEQY          -           -           -           -           -           -           -           -           -           -           -          282         218          -           -           -           -           -           -           -           -           -           -          393          -           -           -           -           -          501          -          376          44          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          918          -          862          -           -           -           -           -           -          852         294          -           -          519          -           -           -           -           -          276          -           -          337          -           -           -           -           -          233          -           -           -          467          -          273         340          -          594          -           -           -           -          450          -           -           -   
        ICLL         521           2          -           -           -          520         989          -           -           -           -          190          93          -           -          847          -           -           -           -           -           -           -           -           -           -           -           -          128          -          633          -           -           -           -           -           -           -           -           -           -           -           -           -           -           55          -           -           -           -          457          -           -           -           -          576          -          120          -           -           -           -           -           -           -          362          -           -          268          -           -           -           -           -           -           -          243          -          461          -          316          -           -           -           -          486         579          -           -           -           -           -          383          -           -           -           -           -           -           -   
        ORLL          -           -          423          -          520          -           -           -           -          830          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          768          -           -           -           -          246          -           -           -           -          932          -          871         322         324          -           -          519          -           -          849          -           -          586          -           -           -           -           -           -           -          236          -           -           -           -           -           92         210          -           -           -           -          789         475          -           -           -           -            3          -           -           -           -           -          184          -           -           -           -          191         297          -           -           -           -           -           -           -           -           -   
        FWXH         546          -           -           -          989          -           -           -           -           -           -           -           -           -           -          229          -           -          413          -          956          -           -           -           -           -           -           -           -           72          -          235          -           -           -           -           -           -           -           -           -           -           -           -          572         182          -          860          -           -           -           96          -          896         862          -           -           -           -          956          -           -           -           -           -           -           -           -          489          -           -           -           -          678          -           -           -          777          -           -           -           -           -           -           -          420          -           -           -           -           -           -           -           -           -           46         805          -           -          359  
        WFNM         814          -           33          -           -           -           -           -           -          181         249          -           -           -          153         718         345          -           -          673          -           -          785          -          880          -           -          509          -           -           -           -           -           -           -          333         537          -           -           -           -          110          -           -          149          -            8          -           -           -           -           -           -           -           -           -           -          451          -           -          135          -          626          -           -           -           -           -           -           -           -          645          -           -           -           -           -           -           -          161          -          748          -           -           -           -           -           -           -           59          -           -           -           -           -           -          786          -           -           -   
        PPVD          -           -           -           -           -           -           -           -           -           -           -            9         666         890          -           -           -           -           -           -           -           -           -           -          775          -           -           -          397         247          -          712          -           -           -           -           -           -           -           -          714         897          -          573          -          871          -           -           -          956          -           -          315          -          237          -           -          847          -          360          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          728          -           -           -           -           -   
        KXOW          -           -          340          -           -          830          -          181          -           -           -           -           -           -           -          753          -           -           -           -          220          -           -           -          988         897          -           -          863          -           -           -           -           -           -          843          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          923          -           -           -           -           -          731          -           -           -           -           -           -          201          -           -           -           -          614          -          856          -           -           -           -           -           -           -           -          498         268          -           -           -           -           -           -           -           -           -           -   
        UOPA          -           -          322          -           -           -           -          249          -           -           -           -          783          -           -           -           -           -           -           -           -           -           -          522          -           -           -           -           -          945          -           -           -           -           -           -           -          981          -           -           -           -          128          -           -           -          662          -           -          834          -           -           -          531         311          -           -           -           -           -           41         571          -           -           -          859          -           -           -           -           -           -           -           -           -           -           -          312          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          895          -           80          -   
